模型名称：数据导出
合约名称：IF当月  
测试时间：2014-05-23 -- 2014-07-04
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：1%
单位：300元/点
手续费：0.00‰
----------------------------------
  测试天数：		42		  测试周期数：	8000
  指令总数：		8000		  平均交易周期：1
  初始资金：		100000		  最终权益：	87995
  总收益率(盈利/初始资金)：	-12.00%	  盈利：	-12004.69
  扣除最大盈利后收益率：	-16.20%
  扣除最大亏损后收益率：	-9.54%

  可靠性(胜率)：	55.44%		  成交额：	10313324544
  期望收益(平均R乘数)：	0.00R		  总手续费：	0

  总交易次数：		8000		
  盈利次数比例：	44.57%		  亏损次数比例：	44.55%
  平均利润率：		-0.00%		  平均每次盈利：	-2
  标准离差率：		-20281.4%		  标准离差：		304.33
  多头次数：		4000		  空头次数：		3999
  多头盈利次数：	1757		  空头盈利次数：	1809

  盈利次数：		3566		  亏损次数：	3564
  总盈利：		842226(842.23%)	  总亏损：	-854231(-854.23%)
  平均盈利率：		264(0.26%)	  平均亏损率：	-267(-0.27%)
  最大盈利额：		4200(4.48%)	  最大亏损额：	-2460(-2.68%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	12		  最大连续亏损次数：	10
  最大连续盈利：	4620(5.39%)	  最大连续亏损：	-4200(-4.56%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20140523 10:40	2118.6	多头	20140523 10:41	2120.2	1	0.00	480	480.0	100480.0	正常
20140523 10:41	2120.2	空头	20140523 10:42	2121.6	1	0.00	-420	-420.0	100059.9	正常
20140523 10:42	2121.6	多头	20140523 10:43	2121.0	1	0.00	-180	-180.0	99879.9	正常
20140523 10:43	2121.0	空头	20140523 10:44	2122.2	1	0.00	-360	-360.0	99519.9	正常
20140523 10:44	2122.2	多头	20140523 10:45	2122.0	1	0.00	-60	-60.0	99459.9	正常
20140523 10:45	2122.0	空头	20140523 10:46	2121.2	1	0.00	240	240.0	99699.9	正常
20140523 10:46	2121.2	多头	20140523 10:47	2122.2	1	0.00	300	300.0	99999.9	正常
20140523 10:47	2122.2	空头	20140523 10:48	2122.2	1	0.00	0	0.0	99999.9	正常
20140523 10:48	2122.2	多头	20140523 10:49	2122.6	1	0.00	120	120.0	100120.0	正常
20140523 10:49	2122.6	空头	20140523 10:50	2122.6	1	0.00	0	0.0	100120.0	正常
20140523 10:50	2122.6	多头	20140523 10:51	2123.4	1	0.00	240	239.9	100359.9	正常
20140523 10:51	2123.4	空头	20140523 10:52	2122.8	1	0.00	180	180.0	100539.9	正常
20140523 10:52	2122.8	多头	20140523 10:53	2121.2	1	0.00	-480	-480.0	100059.8	正常
20140523 10:53	2121.2	空头	20140523 10:54	2120.8	1	0.00	120	120.0	100179.8	正常
20140523 10:54	2120.8	多头	20140523 10:55	2122.0	1	0.00	360	360.0	100539.8	正常
20140523 10:55	2122.0	空头	20140523 10:56	2121.8	1	0.00	60	60.0	100599.8	正常
20140523 10:56	2121.8	多头	20140523 10:57	2123.2	1	0.00	420	420.0	101019.7	正常
20140523 10:57	2123.2	空头	20140523 10:58	2122.2	1	0.00	300	300.0	101319.7	正常
20140523 10:58	2122.2	多头	20140523 10:59	2121.8	1	0.00	-120	-120.0	101199.8	正常
20140523 10:59	2121.8	空头	20140523 11:00	2121.4	1	0.00	120	120.0	101319.8	正常
20140523 11:00	2121.4	多头	20140523 11:01	2120.6	1	0.00	-240	-239.9	101079.9	正常
20140523 11:01	2120.6	空头	20140523 11:02	2121.4	1	0.00	-240	-239.9	100839.9	正常
20140523 11:02	2121.4	多头	20140523 11:03	2122.0	1	0.00	180	180.0	101020.0	正常
20140523 11:03	2122.0	空头	20140523 11:04	2122.6	1	0.00	-180	-180.0	100839.9	正常
20140523 11:04	2122.6	多头	20140523 11:05	2121.0	1	0.00	-480	-480.0	100359.9	正常
20140523 11:05	2121.0	空头	20140523 11:06	2121.6	1	0.00	-180	-180.0	100179.9	正常
20140523 11:06	2121.6	多头	20140523 11:07	2119.8	1	0.00	-540	-540.0	99639.9	正常
20140523 11:07	2119.8	空头	20140523 11:08	2120.2	1	0.00	-120	-120.0	99519.9	正常
20140523 11:08	2120.2	多头	20140523 11:09	2119.6	1	0.00	-180	-180.0	99339.9	正常
20140523 11:09	2119.6	空头	20140523 11:10	2119.8	1	0.00	-60	-60.0	99280.0	正常
20140523 11:10	2119.8	多头	20140523 11:11	2121.2	1	0.00	420	420.0	99699.9	正常
20140523 11:11	2121.2	空头	20140523 11:12	2120.8	1	0.00	120	120.0	99819.9	正常
20140523 11:12	2120.8	多头	20140523 11:13	2120.6	1	0.00	-60	-60.0	99759.9	正常
20140523 11:13	2120.6	空头	20140523 11:14	2120.0	1	0.00	180	180.0	99939.9	正常
20140523 11:14	2120.0	多头	20140523 11:15	2119.0	1	0.00	-300	-300.0	99639.9	正常
20140523 11:15	2119.0	空头	20140523 11:16	2118.8	1	0.00	60	60.0	99699.9	正常
20140523 11:16	2118.8	多头	20140523 11:17	2119.0	1	0.00	60	60.0	99759.9	正常
20140523 11:17	2119.0	空头	20140523 11:18	2119.2	1	0.00	-60	-60.0	99699.9	正常
20140523 11:18	2119.2	多头	20140523 11:19	2119.6	1	0.00	120	120.0	99820.0	正常
20140523 11:19	2119.6	空头	20140523 11:20	2119.6	1	0.00	0	0.0	99820.0	正常
20140523 11:20	2119.6	多头	20140523 11:21	2118.4	1	0.00	-360	-360.1	99459.9	正常
20140523 11:21	2118.4	空头	20140523 11:22	2118.8	1	0.00	-120	-120.0	99339.9	正常
20140523 11:22	2118.8	多头	20140523 11:23	2119.0	1	0.00	60	60.0	99399.8	正常
20140523 11:23	2119.0	空头	20140523 11:24	2119.6	1	0.00	-180	-180.0	99219.8	正常
20140523 11:24	2119.6	多头	20140523 11:25	2120.6	1	0.00	300	300.0	99519.8	正常
