模型名称：数据导出
合约名称：IF下月  
测试时间：2014-05-23 -- 2014-07-04
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：1%
单位：300元/点
手续费：0.00‰
----------------------------------
  测试天数：		42		  测试周期数：	8000
  指令总数：		8000		  平均交易周期：1
  初始资金：		100000		  最终权益：	76602
  总收益率(盈利/初始资金)：	-23.40%	  盈利：	-23397.97
  扣除最大盈利后收益率：	-27.90%
  扣除最大亏损后收益率：	-21.18%

  可靠性(胜率)：	55.38%		  成交额：	10291701760
  期望收益(平均R乘数)：	0.00R		  总手续费：	0

  总交易次数：		8000		
  盈利次数比例：	43.80%		  亏损次数比例：	44.61%
  平均利润率：		-0.00%		  平均每次盈利：	-3
  标准离差率：		-10178.8%		  标准离差：		297.71
  多头次数：		4000		  空头次数：		3999
  多头盈利次数：	1724		  空头盈利次数：	1780

  盈利次数：		3504		  亏损次数：	3569
  总盈利：		813128(813.13%)	  总亏损：	-836526(-836.53%)
  平均盈利率：		282(0.28%)	  平均亏损率：	-283(-0.28%)
  最大盈利额：		4500(4.72%)	  最大亏损额：	-2220(-2.60%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	14		  最大连续亏损次数：	11
  最大连续盈利：	4560(4.79%)	  最大连续亏损：	-3660(-4.06%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20140523 10:00	2107.8	多头	20140523 10:01	2106.8	1	0.00	-300	-300.0	99700.0	正常
20140523 10:01	2106.8	空头	20140523 10:02	2106.8	1	0.00	0	0.0	99700.0	正常
20140523 10:02	2106.8	多头	20140523 10:03	2105.6	1	0.00	-360	-360.0	99340.0	正常
20140523 10:03	2105.6	空头	20140523 10:04	2106.0	1	0.00	-120	-120.0	99220.0	正常
20140523 10:04	2106.0	多头	20140523 10:05	2106.8	1	0.00	240	240.0	99460.1	正常
20140523 10:05	2106.8	空头	20140523 10:06	2107.2	1	0.00	-120	-120.0	99340.1	正常
20140523 10:06	2107.2	多头	20140523 10:07	2107.6	1	0.00	120	120.0	99460.1	正常
20140523 10:07	2107.6	空头	20140523 10:08	2108.6	1	0.00	-300	-300.0	99160.1	正常
20140523 10:08	2108.6	多头	20140523 10:09	2108.4	1	0.00	-60	-60.1	99100.1	正常
20140523 10:09	2108.4	空头	20140523 10:10	2109.4	1	0.00	-300	-300.0	98800.1	正常
20140523 10:10	2109.4	多头	20140523 10:11	2110.6	1	0.00	360	360.1	99160.1	正常
20140523 10:11	2110.6	空头	20140523 10:12	2111.2	1	0.00	-180	-180.0	98980.2	正常
20140523 10:12	2111.2	多头	20140523 10:13	2110.6	1	0.00	-180	-180.0	98800.2	正常
20140523 10:13	2110.6	空头	20140523 10:14	2111.0	1	0.00	-120	-120.0	98680.3	正常
20140523 10:14	2111.0	多头	20140523 10:15	2110.0	1	0.00	-300	-300.0	98380.3	正常
20140523 10:15	2110.0	空头	20140523 10:16	2109.4	1	0.00	180	180.0	98560.3	正常
20140523 10:16	2109.4	多头	20140523 10:17	2110.2	1	0.00	240	240.0	98800.3	正常
20140523 10:17	2110.2	空头	20140523 10:18	2110.4	1	0.00	-60	-60.0	98740.3	正常
20140523 10:18	2110.4	多头	20140523 10:19	2111.8	1	0.00	420	420.0	99160.4	正常
20140523 10:19	2111.8	空头	20140523 10:20	2111.0	1	0.00	240	240.0	99400.4	正常
20140523 10:20	2111.0	多头	20140523 10:21	2110.8	1	0.00	-60	-60.0	99340.4	正常
20140523 10:21	2110.8	空头	20140523 10:22	2110.0	1	0.00	240	240.0	99580.4	正常
20140523 10:22	2110.0	多头	20140523 10:23	2108.6	1	0.00	-420	-420.0	99160.5	正常
20140523 10:23	2108.6	空头	20140523 10:24	2108.4	1	0.00	60	60.1	99220.5	正常
20140523 10:24	2108.4	多头	20140523 10:25	2108.8	1	0.00	120	120.0	99340.6	正常
20140523 10:25	2108.8	空头	20140523 10:26	2107.8	1	0.00	300	300.0	99640.6	正常
20140523 10:26	2107.8	多头	20140523 10:27	2107.8	1	0.00	0	0.0	99640.6	正常
20140523 10:27	2107.8	空头	20140523 10:28	2107.8	1	0.00	0	0.0	99640.6	正常
20140523 10:28	2107.8	多头	20140523 10:29	2108.0	1	0.00	60	60.0	99700.5	正常
20140523 10:29	2108.0	空头	20140523 10:30	2107.0	1	0.00	300	300.0	100000.5	正常
20140523 10:30	2107.0	多头	20140523 10:31	2108.8	1	0.00	540	540.0	100540.6	正常
20140523 10:31	2108.8	空头	20140523 10:32	2108.8	1	0.00	0	0.0	100540.6	正常
20140523 10:32	2108.8	多头	20140523 10:33	2108.0	1	0.00	-240	-240.0	100300.5	正常
20140523 10:33	2108.0	空头	20140523 10:34	2106.4	1	0.00	480	480.0	100780.6	正常
20140523 10:34	2106.4	多头	20140523 10:35	2106.4	1	0.00	0	0.0	100780.6	正常
20140523 10:35	2106.4	空头	20140523 10:36	2105.0	1	0.00	420	420.0	101200.5	正常
20140523 10:36	2105.0	多头	20140523 10:37	2106.6	1	0.00	480	480.0	101680.6	正常
20140523 10:37	2106.6	空头	20140523 10:38	2107.0	1	0.00	-120	-120.0	101560.6	正常
20140523 10:38	2107.0	多头	20140523 10:39	2107.2	1	0.00	60	60.0	101620.6	正常
20140523 10:39	2107.2	空头	20140523 10:40	2107.4	1	0.00	-60	-60.0	101560.6	正常
20140523 10:40	2107.4	多头	20140523 10:41	2109.6	1	0.00	660	660.1	102220.7	正常
20140523 10:41	2109.6	空头	20140523 10:42	2109.8	1	0.00	-60	-60.0	102160.7	正常
20140523 10:42	2109.8	多头	20140523 10:43	2110.0	1	0.00	60	60.0	102220.7	正常
20140523 10:43	2110.0	空头	20140523 10:44	2110.4	1	0.00	-120	-120.0	102100.7	正常
20140523 10:44	2110.4	多头	20140523 10:45	2110.6	1	0.00	60	60.1	102160.8	正常
20140523 10:45	2110.6	空头	20140523 10:46	2110.0	1	0.00	180	180.0	102340.8	正常
20140523 10:46	2110.0	多头	20140523 10:47	2110.8	1	0.00	240	240.0	102580.8	正常
20140523 10:47	2110.8	空头	20140523 10:48	2110.8	1	0.00	0	0.0	102580.8	正常
20140523 10:48	2110.8	多头	20140523 10:49	2111.0	1	0.00	60	60.0	102640.8	正常
20140523 10:49	2111.0	空头	20140523 10:50	2110.6	1	0.00	120	120.0	102760.8	正常
20140523 10:50	2110.6	多头	20140523 10:51	2111.8	1	0.00	360	360.0	103120.8	正常
20140523 10:51	2111.8	空头	20140523 10:52	2110.4	1	0.00	420	420.0	103540.8	正常
20140523 10:52	2110.4	多头	20140523 10:53	2109.2	1	0.00	-360	-360.0	103180.8	正常
20140523 10:53	2109.2	空头	20140523 10:54	2109.2	1	0.00	0	0.0	103180.8	正常
20140523 10:54	2109.2	多头	20140523 10:55	2110.6	1	0.00	420	420.0	103600.9	正常
20140523 10:55	2110.6	空头	20140523 10:56	2109.8	1	0.00	240	240.0	103840.9	正常
20140523 10:56	2109.8	多头	20140523 10:57	2111.2	1	0.00	420	420.0	104260.8	正常
20140523 10:57	2111.2	空头	20140523 10:58	2110.8	1	0.00	120	120.0	104380.8	正常
20140523 10:58	2110.8	多头	20140523 10:59	2109.8	1	0.00	-300	-300.0	104080.8	正常
20140523 10:59	2109.8	空头	20140523 11:00	2109.8	1	0.00	0	0.0	104080.8	正常
20140523 11:00	2109.8	多头	20140523 11:01	2110.0	1	0.00	60	60.0	104140.8	正常
20140523 11:01	2110.0	空头	20140523 11:02	2110.0	1	0.00	0	0.0	104140.8	正常
20140523 11:02	2110.0	多头	20140523 11:03	2110.4	1	0.00	120	120.0	104260.8	正常
20140523 11:03	2110.4	空头	20140523 11:04	2111.4	1	0.00	-300	-300.0	103960.8	正常
20140523 11:04	2111.4	多头	20140523 11:05	2110.0	1	0.00	-420	-420.0	103540.8	正常
20140523 11:05	2110.0	空头	20140523 11:06	2109.8	1	0.00	60	60.0	103600.8	正常
20140523 11:06	2109.8	多头	20140523 11:07	2109.0	1	0.00	-240	-240.0	103360.8	正常
20140523 11:07	2109.0	空头	20140523 11:08	2108.8	1	0.00	60	60.0	103420.8	正常
20140523 11:08	2108.8	多头	20140523 11:09	2108.6	1	0.00	-60	-60.0	103360.8	正常
20140523 11:09	2108.6	空头	20140523 11:10	2108.8	1	0.00	-60	-60.0	103300.8	正常
20140523 11:10	2108.8	多头	20140523 11:11	2110.0	1	0.00	360	360.0	103660.8	正常
20140523 11:11	2110.0	空头	20140523 11:12	2110.4	1	0.00	-120	-120.0	103540.8	正常
20140523 11:12	2110.4	多头	20140523 11:13	2109.2	1	0.00	-360	-360.0	103180.8	正常
20140523 11:13	2109.2	空头	20140523 11:14	2108.2	1	0.00	300	300.0	103480.8	正常
20140523 11:14	2108.2	多头	20140523 11:15	2108.0	1	0.00	-60	-60.0	103420.8	正常
20140523 11:15	2108.0	空头	20140523 11:16	2108.0	1	0.00	0	0.0	103420.8	正常
20140523 11:16	2108.0	多头	20140523 11:17	2108.0	1	0.00	0	0.0	103420.8	正常
20140523 11:17	2108.0	空头	20140523 11:18	2108.8	1	0.00	-240	-240.0	103180.8	正常
20140523 11:18	2108.8	多头	20140523 11:19	2108.8	1	0.00	0	0.0	103180.8	正常
20140523 11:19	2108.8	空头	20140523 11:20	2108.0	1	0.00	240	240.0	103420.8	正常
20140523 11:20	2108.0	多头	20140523 11:21	2107.6	1	0.00	-120	-120.0	103300.9	正常
20140523 11:21	2107.6	空头	20140523 11:22	2107.4	1	0.00	60	60.1	103360.9	正常
20140523 11:22	2107.4	多头	20140523 11:23	2107.0	1	0.00	-120	-120.0	103241.0	正常
20140523 11:23	2107.0	空头	20140523 11:24	2108.0	1	0.00	-300	-300.0	102941.0	正常
20140523 11:24	2108.0	多头	20140523 11:25	2109.6	1	0.00	480	480.0	103421.0	正常
20140523 11:25	2109.6	空头	20140523 11:26	2109.2	1	0.00	120	120.0	103541.0	正常
20140523 11:26	2109.2	多头	20140523 11:27	2107.8	1	0.00	-420	-420.0	103121.1	正常
20140523 11:27	2107.8	空头	20140523 11:28	2107.6	1	0.00	60	60.0	103181.0	正常
20140523 11:28	2107.6	多头	20140523 11:29	2108.2	1	0.00	180	180.0	103361.0	正常
20140523 11:29	2108.2	空头	20140523 13:00	2107.6	1	0.00	180	180.0	103541.0	正常
20140523 13:00	2107.6	多头	20140523 13:01	2108.2	1	0.00	180	180.0	103720.9	正常
20140523 13:01	2108.2	空头	20140523 13:02	2108.6	1	0.00	-120	-120.0	103600.9	正常
20140523 13:02	2108.6	多头	20140523 13:03	2106.8	1	0.00	-540	-540.0	103060.8	正常
20140523 13:03	2106.8	空头	20140523 13:04	2106.6	1	0.00	60	60.0	103120.8	正常
20140523 13:04	2106.6	多头	20140523 13:05	2106.6	1	0.00	0	0.0	103120.8	正常
20140523 13:05	2106.6	空头	20140523 13:06	2106.4	1	0.00	60	60.1	103180.9	正常
20140523 13:06	2106.4	多头	20140523 13:07	2106.6	1	0.00	60	60.1	103241.0	正常
20140523 13:07	2106.6	空头	20140523 13:08	2107.8	1	0.00	-360	-360.0	102881.0	正常
20140523 13:08	2107.8	多头	20140523 13:09	2108.4	1	0.00	180	180.0	103060.9	正常
20140523 13:09	2108.4	空头	20140523 13:10	2108.6	1	0.00	-60	-60.1	103000.9	正常
20140523 13:10	2108.6	多头	20140523 13:11	2108.4	1	0.00	-60	-60.1	102940.8	正常
20140523 13:11	2108.4	空头	20140523 13:12	2108.8	1	0.00	-120	-120.0	102820.8	正常
20140523 13:12	2108.8	多头	20140523 13:13	2108.2	1	0.00	-180	-180.0	102640.7	正常
20140523 13:13	2108.2	空头	20140523 13:14	2110.4	1	0.00	-660	-660.0	101980.7	正常
20140523 13:14	2110.4	多头	20140523 13:15	2110.6	1	0.00	60	60.1	102040.8	正常
20140523 13:15	2110.6	空头	20140523 13:16	2112.4	1	0.00	-540	-539.9	101500.9	正常
20140523 13:16	2112.4	多头	20140523 13:17	2111.8	1	0.00	-180	-180.0	101320.9	正常
20140523 13:17	2111.8	空头	20140523 13:18	2111.0	1	0.00	240	240.0	101560.9	正常
20140523 13:18	2111.0	多头	20140523 13:19	2111.2	1	0.00	60	60.0	101620.9	正常
20140523 13:19	2111.2	空头	20140523 13:20	2111.2	1	0.00	0	0.0	101620.9	正常
20140523 13:20	2111.2	多头	20140523 13:21	2115.0	1	0.00	1140	1140.0	102760.9	正常
20140523 13:21	2115.0	空头	20140523 13:22	2115.6	1	0.00	-180	-180.0	102580.9	正常
20140523 13:22	2115.6	多头	20140523 13:23	2116.0	1	0.00	120	120.0	102700.9	正常
20140523 13:23	2116.0	空头	20140523 13:24	2116.6	1	0.00	-180	-180.0	102520.8	正常
20140523 13:24	2116.6	多头	20140523 13:25	2120.0	1	0.00	1020	1020.0	103540.8	正常
20140523 13:25	2120.0	空头	20140523 13:26	2118.2	1	0.00	540	540.0	104080.8	正常
20140523 13:26	2118.2	多头	20140523 13:27	2116.8	1	0.00	-420	-420.0	103660.8	正常
20140523 13:27	2116.8	空头	20140523 13:28	2117.4	1	0.00	-180	-180.0	103480.9	正常
20140523 13:28	2117.4	多头	20140523 13:29	2116.0	1	0.00	-420	-420.0	103060.9	正常
20140523 13:29	2116.0	空头	20140523 13:30	2117.8	1	0.00	-540	-540.0	102520.9	正常
20140523 13:30	2117.8	多头	20140523 13:31	2117.4	1	0.00	-120	-120.0	102400.9	正常
20140523 13:31	2117.4	空头	20140523 13:32	2122.4	1	0.00	-1500	-1500.0	100900.9	正常
20140523 13:32	2122.4	多头	20140523 13:33	2122.8	1	0.00	120	120.0	101020.9	正常
20140523 13:33	2122.8	空头	20140523 13:34	2122.0	1	0.00	240	240.0	101260.9	正常
20140523 13:34	2122.0	多头	20140523 13:35	2123.0	1	0.00	300	300.0	101560.9	正常
20140523 13:35	2123.0	空头	20140523 13:36	2120.6	1	0.00	720	720.0	102280.9	正常
20140523 13:36	2120.6	多头	20140523 13:37	2121.4	1	0.00	240	239.9	102520.8	正常
20140523 13:37	2121.4	空头	20140523 13:38	2121.8	1	0.00	-120	-120.0	102400.8	正常
20140523 13:38	2121.8	多头	20140523 13:39	2120.2	1	0.00	-480	-480.0	101920.8	正常
20140523 13:39	2120.2	空头	20140523 13:40	2120.8	1	0.00	-180	-180.0	101740.7	正常
20140523 13:40	2120.8	多头	20140523 13:41	2120.6	1	0.00	-60	-60.0	101680.7	正常
20140523 13:41	2120.6	空头	20140523 13:42	2116.8	1	0.00	1140	1140.0	102820.8	正常
20140523 13:42	2116.8	多头	20140523 13:43	2115.6	1	0.00	-360	-360.0	102460.8	正常
