模型名称：数据导出
合约名称：沪深300
测试时间：2014-03-20 -- 2014-05-09
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：0%
单位：1股/手
手续费：0.00‰
----------------------------------
  测试天数：		50		  测试周期数：	8000
  指令总数：		8000		  平均交易周期：1
  初始资金：		100000		  最终权益：	100052
  总收益率(盈利/初始资金)：	0.05%	  盈利：	52.06
  扣除最大盈利后收益率：	0.03%
  扣除最大亏损后收益率：	0.06%

  可靠性(胜率)：	50.14%		  成交额：	34942092
  期望收益(平均R乘数)：	0.01R		  总手续费：	0

  总交易次数：		8000		
  盈利次数比例：	50.09%		  亏损次数比例：	49.85%
  平均利润率：		0.00%		  平均每次盈利：	0
  标准离差率：		15916.4%		  标准离差：		1.03
  多头次数：		4000		  空头次数：		3999
  多头盈利次数：	1906		  空头盈利次数：	2101

  盈利次数：		4007		  亏损次数：	3988
  总盈利：		2564(2.56%)	  总亏损：	-2513(-2.51%)
  平均盈利率：		1(0.00%)	  平均亏损率：	-1(-0.00%)
  最大盈利额：		17(0.02%)	  最大亏损额：	-11(-0.01%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	8		  最大连续亏损次数：	11
  最大连续盈利：	17(0.02%)	  最大连续亏损：	-13(-0.01%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20140320 13:40	2115.71	多头	20140320 13:41	2115.60	1	0.00	-0	-0.11	99999.89	正常
20140320 13:41	2115.60	空头	20140320 13:42	2115.48	1	0.00	0	0.12	100000.02	正常
20140320 13:42	2115.48	多头	20140320 13:43	2115.03	1	0.00	-0	-0.45	99999.57	正常
20140320 13:43	2115.03	空头	20140320 13:44	2114.77	1	0.00	0	0.26	99999.83	正常
20140320 13:44	2114.77	多头	20140320 13:45	2114.37	1	0.00	-0	-0.39	99999.44	正常
20140320 13:45	2114.37	空头	20140320 13:46	2114.00	1	0.00	0	0.37	99999.81	正常
20140320 13:46	2114.00	多头	20140320 13:47	2113.87	1	0.00	-0	-0.14	99999.68	正常
20140320 13:47	2113.87	空头	20140320 13:48	2114.54	1	0.00	-1	-0.68	99999.01	正常
20140320 13:48	2114.54	多头	20140320 13:49	2114.70	1	0.00	0	0.16	99999.17	正常
20140320 13:49	2114.70	空头	20140320 13:50	2115.09	1	0.00	-0	-0.39	99998.78	正常
20140320 13:50	2115.09	多头	20140320 13:51	2115.17	1	0.00	0	0.08	99998.86	正常
20140320 13:51	2115.17	空头	20140320 13:52	2115.45	1	0.00	-0	-0.27	99998.59	正常
20140320 13:52	2115.45	多头	20140320 13:53	2115.59	1	0.00	0	0.14	99998.73	正常
20140320 13:53	2115.59	空头	20140320 13:54	2115.43	1	0.00	0	0.16	99998.88	正常
20140320 13:54	2115.43	多头	20140320 13:55	2115.56	1	0.00	0	0.13	99999.02	正常
